Year;Latitude;Longitude;Depth;Mw
2020;37.1298;36.3557;5.8;3.5
2020;39.443;27.9298;12.2;3.8
2020;38.4678;39.2395;5.5;3.3
2020;38.1815;44.4537;5;3.8
2020;38.367;39.1655;5;3.5
2020;38.3965;39.1202;5.4;3.9
2020;38.3897;39.0925;5.4;5.2
2020;40.2133;36.989;1.3;4.1
2020;38.5567;44.5812;5;3.9
2020;38.4562;44.3498;5;4.5
2020;35.1608;26.9478;5;3.6
2020;36.9663;27.3737;17.8;3.8
2020;36.9605;27.3438;15.8;4.2
2020;38.5005;39.5087;6.4;3.8
2020;38.5238;39.4953;3;4
2020;37.5452;36.0545;5;3.9
2020;35.1928;26.9865;5;3.6
2020;36.1557;44.1485;4.2;4.6
2020;35.036;27.0458;3.4;4.6
2020;36.1268;31.1923;19.7;3.8
2020;37.5337;36.0173;5;4
2020;38.3715;39.0995;5.1;3.5
2020;37.5032;36.0263;5;3.7
2020;36.9832;27.3657;11.4;3.8
2020;39.01;27.8565;11.9;3.6
2020;35.8235;28.1875;5;3.8
2020;40.1948;42.7017;5;3.8
2020;38.4452;44.4192;5;3.9
2020;35.3472;26.136;2.3;3.5
2020;39.1102;27.8392;5;3.6
2020;40.7057;29.262;5.1;3.8
2020;38.2773;38.808;2;3.6
2020;38.369;44.627;3.6;4
2020;38.4072;44.3797;18.8;4.7
2020;38.2433;38.8222;5;3.8
2020;35.052;28.0273;22.7;3.9
2020;35.4355;27.785;15.2;3.4
2020;38.2833;44.4628;5;4.2
2020;38.4502;39.279;4.5;4.1
2020;38.2822;38.8282;1.3;3.5
2020;39.0965;27.784;6.8;3.5
2020;38.3492;44.3612;5;3.5
2020;38.2608;38.8458;2.5;4
2020;38.6243;40.83;5.9;3.7
2020;38.2488;38.827;5.8;3.6
2020;37.1603;37.9638;7.2;3.3
2020;38.2617;38.834;2.7;3.6
2020;38.4275;39.245;4.3;4.4
2020;39.1192;27.7898;7.5;3.4
2020;38.4257;44.465;5;3.8
2020;38.9678;27.8705;13.7;3.7
2020;35.9653;31.0075;20.6;3.6
2020;38.6683;43.1863;5;3.5
2020;38.4078;44.4618;5;3.5
2020;35.1483;27.9915;6;4.5
2020;35.234;27.9623;7.8;4.4
2020;38.1783;38.6762;5;4.3
2020;35.1982;27.9505;14.3;3.5
2020;35.137;27.8225;5;4
2020;35.0388;27.9603;11.8;4.6
2020;38.3112;44.65;5;3.6
2020;38.27;38.776;5.2;5
2020;38.4563;44.3212;5;4.2
2020;38.423;44.5318;5;3.7
2020;38.411;44.4663;5;4.6
2020;38.3408;44.5195;5;3.7
2020;38.3373;44.8292;1.6;3.6
2020;38.3652;44.4022;5;3.7
2020;38.4175;44.4213;5;4.3
2020;38.3625;44.2802;5;4
2020;38.3342;44.4508;2;3.6
2020;38.334;44.4178;7.7;4.4
2020;38.9852;27.8315;9.8;3.5
2020;38.4058;44.4463;1.9;4.1
2020;38.9742;27.8413;13.2;3.6
2020;38.9693;27.8575;7;3.5
2020;38.9893;27.8207;6;3.4
2020;38.9695;27.8687;6.4;3.8
2020;38.9907;27.8767;10.4;5
2020;38.9843;27.8657;6.2;3.3
2020;38.2748;44.5275;6.1;3.5
2020;35.308;27.9242;9.8;3.6
2020;38.3522;44.4912;6.3;3.6
2020;38.3615;44.5215;6;4
2020;38.4002;44.5552;5;3.8
2020;38.9982;27.8332;10.8;3.8
2020;38.3333;44.4705;10.1;3.6
2020;38.2667;44.5067;7.6;4
2020;37.9935;44.5695;5;3.7
2020;38.3553;44.4625;11.1;3.6
2020;38.3142;44.5497;5.3;3.9
2020;38.4262;44.481;3.4;4.1
2020;38.3705;44.4553;5.6;4
2020;38.3353;44.5625;4;4.2
2020;38.3917;44.6222;5;4.2
2020;38.4058;44.5208;5.4;3.6
2020;38.38;44.5412;4.3;3.5
2020;38.3807;44.5468;5;3.7
2020;38.3617;44.5002;5;3.8
2020;38.4143;44.4925;7.2;6
2020;36.912;27.8608;16.5;3.8
2020;38.2948;44.5528;2.9;4.2
2020;38.9695;27.8543;5.4;3.8
2020;38.9957;27.875;11.5;4.5
2020;38.3773;44.4628;10.5;3.9
2020;38.3752;44.4592;5;4.2
2020;38.3925;44.4703;10.4;4
2020;38.4025;44.4882;8.1;4.3
2020;38.346;44.4533;2.2;3.9
2020;38.4657;44.4098;10;3.6
2020;38.3578;44.5345;5;5.8
2020;37.3948;31.4795;5;4.5
2020;39.0947;27.7897;7;3.6
2020;40.7787;27.437;12;3.9
2020;39.0392;27.8445;5.4;3.6
2020;38.9952;27.8678;2.5;3.8
2020;38.2782;38.747;4.9;3.9
2020;39.1967;43.9478;5;3.9
2020;39.1015;27.8378;8.2;3.8
2020;36.5147;44.7228;5;3.5
2020;39.1088;27.803;12.7;4.3
2020;38.467;44.4225;5;4.2
2020;39.1045;27.836;13;3.6
2020;39.1005;27.8107;9.1;3.2
2020;38.4017;44.4917;5;3.9
2020;39.1117;27.8032;7;3.9
2020;39.0977;27.8152;1.1;3.5
2020;39.106;27.8155;8.8;4
2020;39.106;27.8257;13;5.1
2020;39.0042;27.8567;9.3;3.5
2020;38.7108;43.163;5;3.5
2020;38.7143;43.175;5;4
2020;38.3592;39.1167;5.3;4.6
2020;35.2732;27.8842;7.2;3.8
2020;38.3763;44.5022;1.6;3.8
